kode,nama,kategori,satuan,harga_beli,stok,supplier
BRG001,Beras Premium 5kg,makanan,kg,65000,50,PT Beras Sejahtera
BRG002,Minyak Goreng 1L,makanan,botol,15000,30,CV Minyak Murni
BRG003,Pulpen Pilot Hitam,alat-tulis,pcs,3000,100,Toko ATK Lengkap
BRG004,Air Mineral 600ml,minuman,botol,2500,200,PT Air Bersih
BRG005,Kabel USB Type-C 1m,elektronik,pcs,25000,15,Elektronik Store
BRG006,Sabun Mandi Cair 250ml,kebersihan,botol,12000,40,PT Sabun Wangi
BRG007,Teh Celup 25 sachet,minuman,box,8000,60,CV Teh Asli
BRG008,Buku Tulis 58 lembar,alat-tulis,pcs,4500,80,Toko ATK Lengkap
BRG009,Gula Pasir 1kg,makanan,kg,14000,25,PT Gula Manis
BRG010,Deterjen Bubuk 800g,kebersihan,pack,18000,35,CV Bersih Selalu
